country,iso3,year,target,mortality_data,risk_factor_surveys,plan,tob_tax,smoke_free,graphic_warnings,tob_advert,tob_mass_media,alc_sales,alc_advert,alc_tax,salt,fat,child_food_marketing,milkcode,phys_mass_media,clinical_guide,cardio_therapies,total_imp,commercial_total
Afghanistan,AFG,2015,0,0,0,0,0,0.5,0,0.5,NA,1,1,1,0,0,0,0,0,0,NA,4,4
Afghanistan,AFG,2017,0,0,0.5,1,0,1,0.5,1,0,1,1,1,0.5,1,1,1,NA,0,0,10.5,9
Afghanistan,AFG,2019,0,0,0.5,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,7.5,6
Afghanistan,AFG,2022,1,0,0.5,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,7.5,6
Albania,ALB,2015,0,0.5,0.5,0,0,1,0.5,1,NA,0.5,0,0.5,0,0,0,1,1,0.5,1,8,4.5
Albania,ALB,2017,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5,0,0.5,0,0,0,1,0,0.5,0.5,9,5.5
Albania,ALB,2019,1,0.5,0.5,1,0.5,1,0.5,1,0,0.5,0,0.5,0,0,1,1,0,0.5,0,9.5,6
Albania,ALB,2022,1,0.5,0.5,1,0.5,1,0.5,1,0,0.5,0,0.5,0,0,1,0.5,1,1,0,10.5,5.5
Algeria,DZA,2015,1,0,0.5,0.5,0,0.5,0,0.5,NA,0.5,1,1,0,0,0,1,1,0,NA,7.5,4.5
Algeria,DZA,2017,1,0,0.5,0.5,0,0.5,0,0.5,NA,0.5,1,1,1,0,0,0.5,1,0.5,NA,8.5,5
Algeria,DZA,2019,0,0,0.5,0.5,0,0.5,0,0.5,NA,0,0,0,0,0,0,0.5,0,0.5,0,3,1.5
Algeria,DZA,2022,1,0,0.5,0.5,0,0.5,0,1,NR,0,0,0,0.5,0.5,0,0.5,1,1,0,7,3
Andorra,AND,2015,NA,1,0.5,0,0.5,0.5,0,0,NA,0.5,0,0.5,0,0,0,0,1,0,NA,4.5,2
Andorra,AND,2017,0,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,NA,1,0,NA,4,2
Andorra,AND,2019,0,0.5,0.5,0,1,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,NA,4,3
Andorra,AND,2022,0,1,0.5,0,1,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,NA,4.5,3
Angola,AGO,2015,0,0,0.5,0,0,0,0,0,NA,0.5,0,0,0,0,0,0,0,NA,0,1,0.5
Angola,AGO,2017,0,0,0.5,0,NA,0.5,0,0,0,0.5,0,0,0,0,0,0,NA,NA,0,1.5,1
Angola,AGO,2019,0,0,0.5,0,0,0.5,0,0,NA,0.5,0,0,0,NA,0,0,0,0,0,1.5,1
Angola,AGO,2022,0,0,0.5,0,0,0.5,0,0.5,1,0.5,0,0,0,NA,0,0,0,0,0,3,2.5
Antigua and Barbuda,ATG,2015,NA,1,0,0,0,0,0,0,NA,0.5,0,0,0,0,0,0,1,0,0,2.5,0.5
Antigua and Barbuda,ATG,2017,1,1,0,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0,5,1
Antigua and Barbuda,ATG,2019,1,1,0,1,0,1,0.5,1,0,0.5,0,0,0,0,0,0,1,0,0,7,3
Antigua and Barbuda,ATG,2022,0,1,0,0,0,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,NA,4.5,3.5
Argentina,ARG,2015,1,0.5,1,0.5,0.5,1,1,0.5,NA,0.5,0.5,0,1,1,0,1,1,0.5,0.5,12,7
Argentina,ARG,2017,1,1,0.5,0.5,1,1,1,0.5,0.5,0,0.5,0.5,1,1,0,0.5,0,0.5,0.5,11.5,7.5
Argentina,ARG,2019,1,1,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0,0.5,1,0,0.5,0.5,1,0.5,12.5,7
Argentina,ARG,2022,1,1,1,0.5,1,1,1,0.5,0,0.5,0.5,0,0.5,1,0,0,0,1,NA,10.5,6
Armenia,ARM,2015,1,0.5,1,0,0,0.5,0.5,0,NA,0.5,0.5,0.5,0,0,0,1,0,0.5,0.5,7,3.5
Armenia,ARM,2017,1,1,1,1,0,0.5,1,0,NA,0.5,1,0.5,0,0,0,1,0,0.5,0.5,9.5,4.5
Armenia,ARM,2019,1,1,1,1,0,0.5,1,0,NA,0.5,0.5,0.5,0,0.5,0,1,0.5,0.5,0.5,10,4.5
Armenia,ARM,2022,1,1,1,1,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0,1,0,1,0.5,0.5,0.5,11.5,6
Australia,AUS,2015,0.5,1,1,1,0,1,1,0.5,NA,0.5,0.5,0,1,1,0,1,1,0.5,NA,11.5,6.5
Australia,AUS,2017,0.5,1,0.5,0.5,0.5,1,1,0.5,1,0.5,0,0.5,0.5,1,1,0,1,1,NA,12,7.5
Australia,AUS,2019,0,1,0.5,0,1,1,1,0.5,1,0.5,0,0,0.5,0.5,1,0,1,1,NA,10.5,7
Australia,AUS,2022,0,1,0.5,0,0.5,1,1,0.5,0,0.5,0,0,0.5,0.5,1,0,0,1,1,9,5.5
Austria,AUT,2015,0,1,0.5,0,0.5,0,0.5,0.5,NA,0.5,0,0,1,1,0,0,1,0,NA,6.5,4
Austria,AUT,2017,0,1,0.5,0,1,0,1,0.5,1,0,0,0.5,0,1,0,0.5,1,0,1,9,5.5
Austria,AUT,2019,0,1,0.5,0,1,0,1,0.5,1,0,0.5,0,0.5,1,0,0.5,1,0.5,1,10,6
Austria,AUT,2022,0,1,0.5,0,0.5,0.5,1,0.5,0.5,0,0.5,0,0.5,1,1,0.5,1,0.5,NA,9.5,6.5
Azerbaijan,AZE,2015,0,0.5,0.5,0,0,0.5,0.5,0.5,NA,0.5,0.5,1,0,0,0,1,1,NA,0,6.5,4.5
Azerbaijan,AZE,2017,1,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,1,1,1,0.5,1,0.5,0,11.5,6.5
Azerbaijan,AZE,2019,0.5,0.5,1,1,0,0.5,0.5,1,0.5,0.5,NA,0.5,0.5,1,1,0.5,0.5,1,0,11,6.5
Azerbaijan,AZE,2022,NA,0.5,1,1,0,0.5,0.5,1,0,0.5,NR,0.5,0.5,0.5,1,0.5,1,1,0.5,10.5,5.5
Bahamas,BHS,2015,0,0.5,0.5,0,0,0,0,0,NA,1,0.5,1,0,0,0,0,1,0,NA,4.5,2.5
Bahamas,BHS,2017,1,1,0.5,0,0,0,0,0,0,1,0,0.5,0,NA,0,0,1,0.5,NA,5.5,1.5
Bahamas,BHS,2019,1,1,0.5,0.5,NA,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0.5,NA,5.5,1
Bahamas,BHS,2022,1,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,NA,4.5,1
Bahrain,BHR,2015,1,0.5,0.5,0.5,0,0,0.5,1,NA,NA,NA,NA,1,1,1,1,1,1,1,11,5.5
Bahrain,BHR,2017,1,0.5,0.5,1,0,0,0.5,1,0.5,NA,NA,NA,0.5,1,1,1,1,NA,1,10.5,5.5
Bahrain,BHR,2019,1,0.5,0.5,1,0.5,0,0.5,1,0.5,0.5,0,0.5,1,1,1,1,0.5,0.5,1,12.5,7.5
